prox_to	prox_ct	n_proximal	pval	pvale_adjust	or	or05	or95	log_or95	log_or05	log_or
M7	L4	15	0.148114023936803	0.181268800071691	1.48318889584173	0.812944756628317	2.51325826061195	0.921580023122599	-0.207092121769704	0.394194429179082
M8	L4	384	0.148310836422293	0.181268800071691	1.08151743424945	0.970671889150099	1.20230768475117	0.184242780686837	-0.0297667780424097	0.0783650867151183
Mast	L4	47	1	1	0.990926003638503	0.721812678705641	1.33094302929235	0.285887735561028	-0.325989621527828	-0.00911541581685962
Meso	L4	84	3.03243532733081e-26	1.25087957252396e-25	0.36780382882609	0.292390874233144	0.457121777160619	-0.78280545277399	-1.22966376146652	-1.00020555678973
Peri	L4	403	1.17626396602485e-19	3.88167108788199e-19	0.640505313966263	0.576911130534733	0.709486551771655	-0.343213737076612	-0.550067044206797	-0.445497861089191
Plasma1	L4	30	0.0145389965306646	0.020860299370084	0.642500110137599	0.4304249194312	0.924996448883169	-0.077965380522304	-0.842982373503914	-0.442388290792389
Plasma2	L4	48	0.0063580398258763	0.00953705973881446	1.5338634071685	1.11670251652492	2.06372298427029	0.724511625564599	0.110380161004205	0.427789655413633
Plasma3	L4	23	0.0642638802816234	0.0883628353872322	1.53930690659201	0.958660832663504	2.36068562323728	0.858952095166123	-0.0422179343665909	0.431332254463307
Stromal1	L4	129	0.000266380529975715	0.00043952787445993	1.41891260333558	1.17508981674982	1.70099382484937	0.531212683101062	0.161344584461834	0.349890805960904
Stromal2	L4	375	0.155714780224927	0.183520990979378	0.924919948843374	0.829390551516773	1.02898813428494	0.0285759254782749	-0.18706412318462	-0.0780480870056157
NA	L4	563	0.946362209408004	0.975936028452005	0.996047310929378	0.910483383187254	1.08801181831262	0.08435201079444	-0.0937796301872122	-0.00396052159256194
B1	L5	4	0.15232603746408	0.224480476262854	1.96019431736863	0.530259268741171	5.07724941697633	1.62476966160047	-0.634389205744487	0.673043609842838
Endo1	L5	33	0.000474291464223046	0.00148566784067893	0.54840776422271	0.372549382956797	0.782362983219953	-0.245436473216208	-0.987385678253275	-0.600736173438859
Endo2	L5	1	0.534329746211097	0.680056040632305	0.363650325341978	0.00917957605605493	2.04140965589156	0.713640577010149	-4.69077425667376	-1.0115625177251
Endo3	L5	1	0.000476319718500686	0.00148566784067893	0.0930655799449175	0.00235411235291627	0.521403075516804	-0.651231878925518	-6.05159154277143	-2.37445087363983
EpiTumor1	L5	2	0.000720812734794292	0.00183479605220365	0.157215734323595	0.0189831526879611	0.571456350849045	-0.559567175131216	-3.96420339380087	-1.8501363128788
EpiTumor2	L5	3	0.0307251363053646	0.0614502726107291	0.309631733494729	0.0635948508595174	0.9115019725283	-0.092661520819354	-2.75522277324195	-1.17237164415118
F1	L5	21	0.0028258803434003	0.00659372080126736	0.53385308551824	0.327029132202475	0.826654355895558	-0.190368620663932	-1.11770602274889	-0.627634598626958
F2	L5	13	0.0741704917634643	0.122163162904529	0.597490979217582	0.315493180622015	1.03294602329545	0.0324149363961606	-1.15361821174472	-0.515016092834236
F3	L5	121	0.0501217378913164	0.0877130413098037	1.23461281707042	0.994549457604017	1.52402799779365	0.421356828351383	-0.00546545079945614	0.21075741248089
L1	L5	1	0.441164103442565	0.588218804590086	1.7276377287	0.0434187981833646	9.79154947532639	2.28151971524729	-3.13686279378736	0.546755000659646
L2	L5	27	5.23709261886171e-07	3.66596483320319e-06	3.17900287426275	2.06739900324349	4.70041879516599	1.54765161010083	0.726291297021672	1.15656758606879
L3	L5	40	9.43129108572243e-15	2.64076150400228e-13	4.80458154998414	3.3767267127399	6.67085490562787	1.89774802347254	1.21690681208193	1.56956995225835
L4	L5	5	0.611229738107377	0.74410576813072	1.23167784955901	0.397353285710215	2.90264918292747	1.06562383134917	-0.92292950557209	0.208377345170414
L5	L5	5	1.62540987344257e-06	9.10229529127838e-06	28.2729750591752	8.80726162483414	70.2662796076444	4.25229201955382	2.17557656584674	3.34190640349335
M1	L5	12	0.881804504395487	0.949635620118217	1.0243037802777	0.524837824412473	1.80928693286328	0.592932807911164	-0.644665969992767	0.0240131430497506
M2	L5	22	1.79510317900212e-08	1.67542963373532e-07	4.51809225977877	2.79440934826698	6.95231679660992	1.93907495605746	1.02762075986238	1.50808983832841
M4	L5	20	0.133376319084689	0.207474274131739	1.43814884651386	0.869042255326369	2.25122870299999	0.811476157385544	-0.140363529667189	0.363356763339807
M5	L5	3	1	1	0.829530913308775	0.170182465150304	2.4454518098496	0.894229895159935	-1.77088409311914	-0.186894902645478
M6	L5	17	0.000485426806474056	0.00148566784067893	2.62680911894643	1.51363032751821	4.26394189801794	1.4501940606023	0.414510955794326	0.965769846832548
M8	L5	52	2.72422271107883e-09	3.81391179551037e-08	2.69382658020785	1.97632751588774	3.60536098648072	1.28242190066985	0.681240332497927	0.99096270331329
Mast	L5	3	0.758705243793769	0.849749873049022	1.08584535338124	0.222685365645275	3.20336464749136	1.16420170975789	-1.50199542019067	0.0823588111704398
Meso	L5	4	0.00929402842416932	0.0200179073751339	0.309533499961784	0.0839458153140198	0.798557862756216	-0.224947849636619	-2.4775837440623	-1.17268895374306
Peri	L5	11	2.30632136012098e-06	1.07628330138979e-05	0.296533218214961	0.146903751825417	0.535907237177438	-0.62379419785627	-1.91797765613241	-1.21559603236794
Plasma1	L5	5	0.199967845894257	0.279954984251959	1.8897172812502	0.609115498302156	4.45912590328741	1.49495276101425	-0.495747376869487	0.63642723124225
Plasma2	L5	2	0.713031756080875	0.831870382094354	1.06419402693629	0.128194247166387	3.88305751018655	1.35662286140126	-2.05420860939957	0.062217730437725
Stromal1	L5	5	1	1	0.917334942011707	0.296040543339521	2.1605927357589	0.770382598754438	-1.21725886329609	-0.0862826149520677
Stromal2	L5	14	0.0432641479569188	0.0807597428529151	0.583168580883088	0.316082450344256	0.989466002958616	-0.0105898723280255	-1.15175218061768	-0.539278973396183
NA	L5	15	0.000530595657385333	0.00148566784067893	0.436136766025115	0.241958489557909	0.727521565306613	-0.318111637342691	-1.41898909829097	-0.829799401277658
B1	M1	59	1.26288501507332e-05	2.3152891943011e-05	0.569386023594265	0.428059041174734	0.744963532208799	-0.294420011855974	-0.848494146244169	-0.563196650287249
B2	M1	27	0.00671242694855234	0.0100686404228285	1.87478939326672	1.16835715799835	2.92142466122043	1.07207139497505	0.155598623620531	0.628496329522524
DC	M1	29	0.509647294758362	0.509647294758362	0.863813906613325	0.563635229668216	1.28008898832038	0.246929597640272	-0.573347992628321	-0.146397919241155
Endo1	M1	1382	2.67316821878039e-212	4.41072756098765e-211	0.441557712966938	0.416820304029574	0.467416927920969	-0.760533640329592	-0.875100075647001	-0.817446547284347
Endo2	M1	148	0.0770525286470084	0.0977974402058183	1.17778346998672	0.979915496283576	1.40777102032661	0.342007616901605	-0.0202889393174567	0.163634256777719
Endo3	M1	251	9.26801790404599e-39	3.82305738541897e-38	0.461615927639714	0.403983286490676	0.52551097656918	-0.643384201025658	-0.906381771949335	-0.773022059098199
EpiTumor1	M1	243	3.92841134627838e-66	2.59275148854373e-65	0.370800895947654	0.324091349870859	0.42261534937779	-0.861292853168278	-1.1267298588827	-0.992090029037547
EpiTumor2	M1	180	7.13462194648237e-54	3.36346463191312e-53	0.358080979102865	0.306135227901988	0.416669357451653	-0.875462279490784	-1.18372835339987	-1.02699611954913
F1	M1	1969	8.68100159647292e-07	1.79045657927254e-06	1.13677213907538	1.08023286992755	1.19578257129449	0.178800842424927	0.0771766381966953	0.12819278929791
F2	M1	1127	3.248286781155e-05	5.64176125147974e-05	1.1510329850975	1.07719593389567	1.22925487273313	0.206408191290775	0.0743613072505173	0.140659787102799
F3	M1	5486	7.81947786514037e-27	2.58042769549632e-26	1.20246999871405	1.16283523128885	1.2432917736247	0.217762518389837	0.150861187909611	0.184377773592197
F4	M1	57	0.149709064598667	0.176442826134143	0.807760007903897	0.601107108188478	1.06780757943806	0.0656075552401186	-0.508982143705861	-0.213490284501114
L1	M1	35	0.120670242088564	0.147485851441578	1.34119959084372	0.901155376075398	1.94706699475337	0.666324135019123	-0.104077587766968	0.293564430542574
L2	M1	505	9.62023947522568e-06	1.86745825107322e-05	1.25064582705415	1.1327005203155	1.37877390153633	0.321194627091763	0.124604622583034	0.223660079533861
L3	M1	551	1.70002015584926e-10	4.67505542858546e-10	1.36986647866877	1.24495854244007	1.50526761143449	0.408970697300283	0.219102230117312	0.314713274264703
L4	M1	262	1.40365561933845e-07	3.08804236254458e-07	1.45942664836206	1.26899852611363	1.67357887042344	0.514964369583766	0.238228027276593	0.378043651989487
L5	M1	11	0.474900045259329	0.493286309271824	1.24795649331601	0.587065449035648	2.42149281398269	0.884384215267517	-0.532618967864063	0.22150740821458
M1	M1	1335	2.610358824453e-225	8.61418412069489e-224	3.31594793045591	3.09540672440492	3.5513267096746	1.26732125470611	1.12991931088058	1.19874353463345
M2	M1	323	3.53520047067236e-08	8.33297253801342e-08	1.4282349669365	1.25977934404186	1.61539197179914	0.479577634222413	0.230936581851123	0.356439393054349
M4	M1	1308	4.41547842545786e-136	4.85702626800364e-135	2.4349362499797	2.27801084631785	2.6011318038069	0.955946659464393	0.823302626347217	0.889920575485345
M5	M1	221	4.44679056675494e-05	7.33720443514564e-05	1.37026256188927	1.1775167217752	1.58899671558398	0.463102820582006	0.16340774789057	0.315002372491386
M6	M1	466	9.81674080978831e-19	2.94502224293649e-18	1.63045527992434	1.46695160968271	1.80940466501697	0.592997876818277	0.383186512715443	0.488859288655122
M7	M1	32	0.47833823929389	0.493286309271824	1.14420952204777	0.757711323156281	1.6792340501903	0.518337766945126	-0.277452806041016	0.134714024831096
M8	M1	1357	2.76689302797772e-36	1.01452744359183e-35	1.50391507907872	1.41346577114358	1.59934043367171	0.469591315300842	0.346044682183437	0.408071760555022
Mast	M1	142	0.274683483428284	0.302151831771113	1.10579068308702	0.917194731435751	1.32531055972576	0.281646816673071	-0.0864354721974509	0.100560629390654
Meso	M1	273	3.2760704707702e-57	1.80183875892361e-56	0.41145753129652	0.362276443252772	0.465739430997875	-0.764128962194042	-1.01534770319839	-0.888049468816688
Peri	M1	945	3.45942789090668e-97	2.85402800999801e-96	0.511775037130724	0.477528165938036	0.547992598489933	-0.601493498530566	-0.739132134543307	-0.669870131102626
Plasma1	M1	106	0.0591598496586027	0.0780910015493555	0.819705000939101	0.662241357067024	1.00606518788959	0.00604686867319986	-0.412125201776541	-0.198810758403491
Plasma2	M1	72	0.0574129956999024	0.0780910015493555	0.785812712454032	0.605472378801965	1.00687701583856	0.00685347702139686	-0.501746334202127	-0.241036794266529
Plasma3	M1	35	0.244305370591666	0.278002663087069	0.803035883145352	0.547081555988696	1.1465494701154	0.136756971199067	-0.603157390802516	-0.219355879675933
Stromal1	M1	170	7.16157892537621e-10	1.81793926567242e-09	0.62303780261732	0.528421653507405	0.730671292465158	-0.313791588673788	-0.637860727787897	-0.473148083677082
Stromal2	M1	1034	0.014210108810554	0.0203884169890557	0.919679288460058	0.85906775977491	0.983745310133592	-0.0163882465974991	-0.151907477949533	-0.0837302692139186
NA	M1	1657	0.00386452363410786	0.00607282285359806	1.08420549653674	1.02611437417025	1.14503204068525	0.135432619745906	0.0257792163350799	0.0808474575017309
B1	M2	5	3.74229832040414e-05	5.61973466716987e-05	0.225246831770578	0.0728624841575364	0.528680115484641	-0.637371726652967	-2.61918139304008	-1.49055844798405
B2	M2	2	0.590432583300224	0.590432583300224	0.545619050857113	0.0652391510078805	2.01943964588628	0.702820069903182	-2.72969551468186	-0.605834255802373
Endo1	M2	60	1.39614698645213e-192	2.1640278290008e-191	0.0865045367804391	0.0658779909692096	0.111601959794523	-2.1928166683063	-2.71995086944416	-2.44755841809089
