"","Gene","mean","median","sd","max","Patient_ID","Sample","Tissue","Timepoint","Annotation","BestResponse","Residual"
"IFNGR1","IFNGR1",1.570035002,1.45194815,1.26635490517231,6.103716,0.0289088193316956,0,0.00205051912792618,0,0,0,0.969040661540378
"TNFRSF1B","TNFRSF1B",1.103014837,0.5165338,1.25858814595608,5.63086605,0.0267167420168479,0,0,0,0.0167052249312979,0.00000034920507541458,0.956577683846779
"IL15","IL15",0.299931978,0.13808319,0.49441225936529,5.40607415,0.0256400976869155,0,0.000000000173604644981162,0.0002797758527666,0,0,0.974080126286713
"CD86","CD86",0.390479044,0.035826717,0.73549515935763,4.703178847,0.0250699752344667,0.0169258313708256,0,0,0,0.000000000177729166243463,0.958004193216979
"C3","C3",1.756297559,1.15513644,1.77696815801354,7.17270093,0.0250516430069871,0.0198080519229785,0,0.000000000189628558489429,0.0186575142129903,0,0.936482790667416
"PTPRC","PTPRC",1.099932104,0.251278859,1.37693007139515,5.308965574,0.0247823537951271,0.0115224903752753,0.00375317660669218,0.000684779059658909,0.0120274833229601,0.00384448015300963,0.943385236687277
"CSF1R","CSF1R",0.893115901,0.095848644,1.53738755275195,5.767067219,0.0247343260627782,0.00308310594375259,0.00133558281838958,0,0,0.0182118856314061,0.952635099543674
"IGHG2","IGHG2",0.313952916,0,0.960322857804814,6.374284521,0.0238968314184159,0.0159320162948577,0,0.000000817791017920192,0.00339338647080867,0.00000000767065293820228,0.956776940354247
"MZB1","MZB1",0.242244765,0,0.889209215192639,5.871700457,0.0236373666313944,0.000000000212981955560198,0,0.0119082400999172,0.000000000139303079675921,0,0.964454392916403
"CD44","CD44",0.93920236,0.63551492,0.97588960040227,5.77453242,0.0234853581577053,0.0102211278233464,0.000011533841415735,0.00104293564027708,0,0.000000315654520516743,0.965238728882735
"CALR","CALR",2.560275974,2.6798758,1.39795043589474,6.7547369,0.0233851862404839,0.0191382815409848,0.00000000078349407369635,0,0.00816140088737177,0.00000000637316948440732,0.949315124174496
"TXLNA","TXLNA",0.8683296,0.78362487,0.833286993307754,6.44517741,0.022968061648421,0.0010531548686885,0,0.00391819214598281,0.000000000575445564150633,0.0000000023243181604778,0.972060588437144
"CENPF","CENPF",0.214591921,0,0.698086259148535,5.398200061,0.022940085071505,0,0,0,0.00962030129885407,0.000000000426309867501966,0.967439613203331
"SOCS1","SOCS1",0.162327908,0,0.450072956077253,5.172101805,0.0229321261435835,0,0,0,0.00415230561711512,0,0.972915568239301
"CD4","CD4",0.964624724,0.26861959,1.28596877395657,6.32056278,0.0225491583545542,0.000000000118775312365278,0,0.00491289401657483,0.00000000203892013099386,0.00519414836834198,0.967343797102834
