prox_to	prox_ct	n_proximal	pval	pvale_adjust	or	or05	or95	log_or95	log_or05	log_or
M5	M7	4	0.585751764267798	0.702119409102631	1.1837550109208	0.319131023284002	3.08293909519965	1.12588339366498	-1.14215352922649	0.168691598599621
M6	M7	9	0.0644396310254848	0.129892921143663	1.88924093818003	0.852088785392933	3.65456330409138	1.29597660701879	-0.160064549374452	0.636175128390071
M7	M7	16	2.61745957551247e-20	6.80539489633243e-19	47.3953027928059	24.5151133273883	88.0051158227571	4.47739494713798	3.19928979786993	3.85852312659239
M8	M7	5	0.0649464605718314	0.129892921143663	0.436823007624896	0.140741690511946	1.03171359644238	0.0312211057156361	-1.96082905092041	-0.828227182804702
Mast	M7	3	0.746804044050465	0.844213267187482	1.16345515210391	0.237393667052315	3.46194029341467	1.24182921033571	-1.43803547343739	0.151394157339535
Meso	M7	9	0.0583865793106534	0.129892921143663	1.94076805445529	0.875166111242794	3.7550517739439	1.32310207312208	-0.133341569221789	0.663083799084181
Peri	M7	11	0.0726430981612554	0.134908610870903	0.570923897192907	0.281948918862158	1.03638685357557	0.0357404849240651	-1.26602936323831	-0.560499358080996
Plasma1	M7	1	0.0253224347559053	0.0968841510062256	0.150277238285264	0.00379222617757454	0.845199061242896	-0.168183103933119	-5.57480205038326	-1.89527343557283
Plasma2	M7	1	0.528493387205215	0.702119409102631	0.379033111885606	0.00953990404364109	2.14167988757748	0.761590515282046	-4.65227185189107	-0.970131711263151
Plasma3	M7	1	1	1	0.624892553094717	0.0156901679107323	3.54936464056259	1.26676861298007	-4.15472101052694	-0.470175559073275
Stromal1	M7	1	0.38732158478944	0.559464511362525	0.307582304577693	0.00774706744072199	1.73554887044901	0.551323715213937	-4.86044090197179	-1.17901257038612
Stromal2	M7	11	0.24668777501164	0.37728718531192	0.672416422345305	0.331982473574877	1.22100913242091	0.199677674560801	-1.10267310189623	-0.396877454269861
NA	M7	24	0.915543140570745	0.991838402284974	1.00481770155882	0.633682182598329	1.52420778239435	0.421474788124757	-0.45620773950947	0.00480613357385342
B1	M8	32	0.000243634445698165	0.000599715558641636	2.3094908089801	1.46205910198919	3.58155401795883	1.27579678945446	0.3798457859477	0.837027071222715
B2	M8	4	0.289026562681391	0.402123913295848	1.87215219790444	0.428491113868022	6.49413495398897	1.87089945479964	-0.847485278923576	0.627088677049929
DC	M8	3	0.45957679748404	0.507119224809975	0.561348969207559	0.108437808915289	1.84046005001577	0.610015567551791	-2.22157846005849	-0.57741251835309
Endo1	M8	601	0.624881031391016	0.645038484016533	0.975808571153161	0.888665073823592	1.07026253109234	0.0679039745399761	-0.118034859309758	-0.0244888479198124
Endo2	M8	4	0.387097402584499	0.476427572411691	0.56696260283062	0.145859358038904	1.59478514249414	0.46673902026279	-1.92511242264989	-0.567461933636611
Endo3	M8	33	0.0567913359608264	0.0956485658287603	1.47282034830849	0.963650316077932	2.19841080196228	0.787734736590171	-0.0370267928363712	0.387179166911692
EpiTumor1	M8	1	3.80055433493302e-66	6.08088693589282e-65	0.00571949381967756	0.000150805827478653	0.0319521875854086	-3.44351463147562	-8.79951745937942	-5.16387497056954
F1	M8	638	1.6818823379872e-09	7.68860497365579e-09	0.767138456309905	0.701355383542368	0.838107290816341	-0.176609154695044	-0.354740553874765	-0.265087977204749
F2	M8	345	3.99275068351498e-33	3.19420054681199e-32	0.521202315171451	0.463414012361576	0.584704568307058	-0.536648570752434	-0.769134429284841	-0.651616991739296
F3	M8	2534	5.70742708403238e-65	6.08792222296788e-64	1.61532435415242	1.52921633319941	1.70612368165187	0.534223944479072	0.424755403661584	0.47953577499374
F4	M8	34	0.336402288787094	0.448536385049458	0.823507039732063	0.553809266993461	1.19165493713156	0.1753430444629	-0.590934934919296	-0.194183180849599
L1	M8	13	0.404855437415531	0.479828666566556	1.26780434280731	0.629788439144185	2.37909164792418	0.866718754296407	-0.462371326875904	0.237286540329255
L2	M8	231	1.80067660190606e-07	6.402405695666e-07	1.51158452080429	1.29480410787199	1.75952044685972	0.565041298547287	0.258359415656816	0.413158452168395
L3	M8	194	0.0249040268590529	0.0531285906326462	1.20635111807733	1.02278494935929	1.4175480145205	0.348928628723704	0.0225292491910088	0.187600198615541
