prox_to	prox_ct	n_proximal	pval	pvale_adjust	or	or05	or95	log_or95	log_or05	log_or
B2	Mast	3	0.234300805501304	0.373721185966143	1.84742041059642	0.366615165077028	5.7700101568251	1.7526738408001	-1.00344257760989	0.613790293397478
Endo1	Mast	149	1.63943537676189e-13	1.01644993359237e-12	0.554406057606883	0.465048490896168	0.656837941362665	-0.420317955516836	-0.765613597334583	-0.589857904746794
Endo2	Mast	3	0.634440903592573	0.702416714691777	0.634028618887619	0.128936668840938	1.89784200392507	0.640717453269207	-2.04843393438811	-0.455661185362408
Endo3	Mast	9	0.436547095837003	0.541318398837884	1.29752182348488	0.583305496492627	2.52150645216124	0.924856521389682	-0.53904422216969	0.260456155557982
EpiTumor1	Mast	13	7.88147703789405e-35	8.14789304103016e-34	0.104469255805305	0.0554498947396577	0.179319457788574	-1.71858638340807	-2.89227546348048	-2.25886245368346
EpiTumor2	Mast	16	9.38723117915854e-31	7.27510416384787e-30	0.133345985964155	0.0759707085974959	0.217446357151855	-1.52580309265709	-2.5774074261774	-2.01480813031332
F1	Mast	116	0.101306182778631	0.209366111075838	0.849250743384957	0.695766905832455	1.02823784342098	0.027846505467683	-0.362740580154199	-0.163400796598928
F2	Mast	92	0.201304631798881	0.361329567985233	0.868168121972348	0.694074204942096	1.07462381760242	0.0719706632233162	-0.365176400643558	-0.141369894168827
F3	Mast	725	4.62944391489933e-45	1.43512761361879e-43	2.01100161572149	1.82830989281672	2.21067844703155	0.79329945802503	0.603391984275012	0.698632914232007
F4	Mast	6	0.82605301231641	0.853588112726957	1.09055478805941	0.393413504166965	2.43460962049859	0.889786423558125	-0.932894046806556	0.0866865466257491
L1	Mast	4	0.308340676806019	0.415589607868982	1.6936039156696	0.447393366826281	4.55889889286724	1.51708112350506	-0.804317056083666	0.526858752875054
L2	Mast	37	0.47730056423213	0.548011758933186	1.11653058377928	0.778546423879761	1.55651558631225	0.442449724541808	-0.250326657013632	0.1102261844704
L3	Mast	54	0.00460778356221204	0.0142841290428573	1.53281832888802	1.13871755331588	2.0256680549708	0.705899549841528	0.129902675939886	0.427108085944813
L4	Mast	10	0.338860354369925	0.437694624394487	0.699918630078715	0.332422579192549	1.30405416068241	0.26547799690759	-1.10134829053241	-0.356791193440136
M1	Mast	44	0.27352075949739	0.388255221415246	1.18842187138502	0.855056375537915	1.61361494711375	0.478476970823783	-0.156587875917424	0.172626268497064
M2	Mast	30	0.209804265281748	0.361329567985233	1.26135090621539	0.841685518851579	1.82454089758675	0.601328392421022	-0.172348827556093	0.232183294413419
M4	Mast	80	0.469414575110425	0.548011758933186	1.08538169242212	0.852948995986937	1.36452473286597	0.310806186957256	-0.159055526962888	0.0819317153795399
M5	Mast	17	0.81317241338783	0.853588112726957	0.896349001824711	0.516970562645537	1.45326243229178	0.373810982382465	-0.659769344884846	-0.109425430881831
M6	Mast	32	0.275535963585014	0.388255221415246	1.21011703501871	0.81905419598753	1.72986790165822	0.548045048171319	-0.199605023951481	0.190717078087223
M7	Mast	6	0.069059209220643	0.164679652756918	2.1694505991944	0.770753896933776	4.95599865900655	1.60059869318707	-0.260386156200406	0.774473955402129
M8	Mast	194	7.88505778164209e-35	8.14789304103016e-34	3.00462057233998	2.55919317354828	3.5126772958669	1.25637850907765	0.939692042233344	1.10015129457075
Mast	Mast	38	3.50190266933577e-12	1.80931637915681e-11	4.22749609976573	2.91289624712232	5.98585084457248	1.78939849174159	1.06914786015189	1.44160987920371
Meso	Mast	54	0.0984656214487903	0.209366111075838	1.27448123762239	0.947905227384576	1.6819271601921	0.519940255138674	-0.0535007528378762	0.242539223362309
Peri	Mast	104	0.000709892722804953	0.00244518604521706	0.71465320575302	0.579275281505804	0.873523401830078	-0.135220358891019	-0.545977471381156	-0.335957880870587
